elpd_diff	se_diff	Abs_LowerBound	T_stat	Phenotype	SGB	Covariates	k_good	k_ok	k_bad	k_verybad	phylo_mean	phylo_median	phylo_sd	phylo_mad	phylo_q5	phylo_q95	phylo_rhat	phylo_ess_bulk	phylo_ess_tail	Continent	P_value	P_bonferroni	FDR	Percentage_badk	Cutoff
-0.443653974913729	0.0049559752040897	0.4337420245055495	-89.51900617816311	creatinine	t__SGB10115	Age	1	1	0	0	0.67255722493475	0.47741	0.655959690048012	0.5030120802	0.03161244	1.9820584999999995	0.999413369113183	2142.57944853724	1331.5651283674838	Europe	0	0	0	0	FALSE
-412.139531970158	30.2730422311929	351.59344750777217	-13.614077132475819	Age	t__SGB17248	Country	5690	19	1	0	20.895460175	20.8904	1.2280059864011774	1.221291750000001	18.875765	22.86398	1.0077514307783595	374.703214677529	815.8983813834426	Europe	0	0	0	0.017513134851138354	TRUE
-261.368070899689	21.0413921518952	219.28528659589853	-12.421614929891772	Age	t__SGB15249	Country	7133	1	1	0	5.76714597	5.757300000000001	0.4508477670958712	0.44804172	5.044248	6.536595499999999	1.00450588982006	1438.2613308023756	2596.542519033508	Europe	0	0	0	0.01401541695865452	TRUE
-281.006661058994	22.7081690609743	235.59032293704536	-12.374694776336025	Age	t__SGB15053_group	Country	6992	0	5	0	7.301109655	7.295695	0.5434851148393522	0.5634547169999999	6.417706999999999	8.1930905	1.002616301181945	978.2457943546954	2163.058725689839	Europe	0	0	0	0.07145919679862799	TRUE
-252.119417696723	21.9956486844926	208.1281203277378	-11.462240614639047	Age	t__SGB15106	Country	5925	0	0	1	6.3348805075	6.31581	0.4788853724666875	0.4727121839999996	5.57243	7.137038999999999	1.0015244083598092	1684.090383199645	2543.637403663378	Europe	0	0	0	0.016874789065136685	TRUE
-178.28180854239	16.2035182623169	145.8747720177562	-11.002660388701159	Age	t__SGB15090	Country	1956	0	0	0	7.8462115325	7.831155	0.7575680547129128	0.7455847140000004	6.641767	9.1272975	1.001606807295224	2103.992645834842	2697.4250317393994	Europe	0	0	0	0	TRUE
-220.197765799759	20.0165768265732	180.1646121466126	-11.000770396835954	Age	t__SGB14546_group	Country	4063	8	2	1	12.9005619325	12.87765	1.1483920605464284	1.11476694	11.09355	14.85879	1.0151171279268425	420.9204427819589	967.090350870048	Europe	0	0	0	0.07363770250368189	TRUE
-211.800409434565	20.2711002953095	171.25820884394602	-10.448392359026176	Age	t__SGB15300	Country	7585	1	2	0	8.396652325	8.381185	0.6827126263419229	0.7121817360000001	7.320453	9.541862	1.0007846578914346	972.0454500241336	1836.661451938295	Europe	0	0	0	0.02635740643120717	TRUE
-187.673067141479	18.5363775412471	150.6003120589848	-10.124581608454477	Age	t__SGB15318_group	Country	8719	2	1	0	5.70432668	5.69777	0.4009241605930159	0.3892566299999994	5.0583505	6.3837785	1.0066433183784511	1046.84379846484	1816.878253968239	Europe	0	0	0	0.011465260261407933	TRUE
-155.611120344411	16.7785384159887	122.0540435124336	-9.27441452207334	Age	t__SGB15234	Country	4143	1	1	0	6.4393852975	6.43184	0.504009115963149	0.5045213670000003	5.6074125	7.289458499999999	1.0060111257474444	861.862590573905	1550.8385666067395	Europe	0	0	0	0.024125452352231604	TRUE
-169.12240719826	18.9089349946355	131.304537208989	-8.944047205526928	Age	t__SGB15332_group	Country	4856	1	1	0	5.555781055	5.531585	0.8112226051194895	0.8072238090000009	4.2829795	6.9498575	1.009237896591103	757.1226623233197	1512.662359988777	Europe	0	0	0	0.02058460271716756	TRUE
-178.230110799363	20.2455661001096	137.7389785991438	-8.80341453126362	Age	t__SGB4837_group	Country	5694	0	3	0	12.7239542275	12.7141	1.0582484428724257	1.0781467199999997	10.972195	14.458185	1.0144019675172846	336.97392145897794	893.4692113066088	Europe	0	0	0	0.0526592943654555	TRUE
-142.34782424699	16.2705075619967	109.8068091229966	-8.748825056906906	Age	t__SGB15317	Country	4699	1	0	1	6.17389087	6.17299	0.5397242290014743	0.5417939310000003	5.310703	7.056342	1.001185067353487	1014.2138566255126	1910.8069360597883	Europe	0	0	0	0.021272069772388852	TRUE
-153.901843334043	17.810752168234	118.280338997575	-8.640951369169656	Age	t__SGB8007_group	Country	1778	3	1	0	16.435900425	16.3812	1.7417196997006723	1.7724483	13.63165	19.351995	1.003762700689466	719.9269691770476	1628.3879717945074	Europe	0	0	0	0.05611672278338946	TRUE
-137.308916173919	15.9852028141861	105.3385105455468	-8.589751269972247	Age	t__SGB2295	Country	7936	0	0	0	13.7109624175	13.6793	1.6151009067937867	1.6347888899999994	11.102275	16.43918	1.0029626319389409	989.0143716707704	1824.644526362668	Europe	0	0	0	0	TRUE
-137.732452996606	16.5328667755033	104.6667194455994	-8.330827004587237	Age	t__SGB15236	Country	4679	3	1	0	6.465121475	6.45814	0.5530893989008635	0.5507117700000004	5.598831	7.3903965	1.010022004532549	1012.6709018229626	1757.530425485856	Europe	0	0	0	0.021353833013025837	TRUE
-138.510322797798	17.2630408412825	103.984241115233	-8.023518224354026	Age	t__SGB15342	Country	8595	1	2	0	11.06895019	11.0381	0.8207709933453381	0.8084617800000001	9.7511255	12.447595	1.0065935829682873	563.2630138270079	1184.152324080189	Europe	1.1102230246251565e-15	3.682609772681644e-12	9.691078349162221e-14	0.02326122354035822	TRUE
-129.670498503842	16.17968697071	97.311124562422	-8.014400942279279	Age	t__SGB2318	Country	9605	0	1	0	8.45957143	8.405815	1.409835319785518	1.4115241559999998	6.188375499999999	10.804564999999998	1.0014002109160909	700.6719905671137	1436.401084197105	Europe	1.1102230246251565e-15	3.682609772681644e-12	9.691078349162221e-14	0.010410160316468874	TRUE
-109.173609199846	13.757859168811	81.657890862224	-7.93536318843429	Age	t__SGB14861	Country	3095	0	2	3	8.6160724	8.57818	0.8995227779523172	0.8779660680000005	7.165481	10.13314	1.0019462038403368	879.0613532871366	1562.0159661133755	Europe	1.9984014443252818e-15	6.62869759082696e-12	1.6571743977067398e-13	0.16129032258064516	TRUE
-103.153589186518	13.0638466920512	77.0258958024156	-7.896111430125908	Age	t__SGB4925	Country	5706	0	2	1	5.237671265	5.2356750000000005	0.5628366440134837	0.5518237199999991	4.326179	6.179436000000001	1.002442312624905	1065.360732686644	1798.2209040277928	Europe	2.886579864025407e-15	9.574785408972275e-12	2.335313514383482e-13	0.05254860746190226	TRUE
-106.238507570579	13.4798096104945	79.27888834959	-7.881306238024952	Age	t__SGB15093	Country	2841	2	2	0	6.7515471	6.708195	0.952790235914235	0.9486490230000004	5.258443	8.3893005	1.0066748309691365	927.4688882387484	1584.390179741668	Europe	3.3306690738754696e-15	1.1047829318044933e-11	2.6304355519154606e-13	0.070298769771529	TRUE
-108.747625728029	13.900617677829	80.94639037237101	-7.8232225537342615	Age	t__SGB15089	Country	2697	3	2	0	6.35212507	6.31729	0.8542461586175986	0.8220942869999995	5.0395335	7.833477999999999	1.001646968561136	1255.9585937801096	2450.6194983255173	Europe	5.10702591327572e-15	1.6940004954335564e-11	3.8500011259853556e-13	0.07401924500370095	TRUE
-129.55982166908	16.6564310488736	96.2469595713328	-7.778366283204562	Age	t__SGB15224	Country	3437	0	3	0	9.62698393	9.628975	0.8589184072596403	0.8755123649999993	8.219662	11.06512	1.003498271513197	1071.5423541470482	2219.9467469217625	Europe	7.327471962526033e-15	2.4305224499698852e-11	5.401160999933078e-13	0.0872093023255814	TRUE
-140.90217271322	18.2230342204739	104.4561042722722	-7.732091758622389	melanoma	t__SGB14546_group	Age+Country	2763	97	19	4	1.612580695	1.60508	0.1808854491323001	0.1848209159999999	1.3335980000000005	1.9199925	1.0016038199398558	4898.213121270337	3326.700481021345	Europe	1.0658141036401503e-14	3.5353053817743785e-11	7.365219545363288e-13	0.7977800901838363	TRUE
-117.316839717753	15.2457683433577	86.8253030310376	-7.6950427866671465	Age	t__SGB4874	Country	7779	0	2	0	6.965849545	6.957414999999999	0.6535604229347503	0.6744273270000007	5.916596	8.054046499999998	1.000814064535413	1005.2349324134958	1355.554737391281	Europe	1.4210854715202004e-14	4.7137405090325046e-11	9.574785408972276e-13	0.025703637064644645	TRUE
-107.140831050166	13.9290116777004	79.2828076947652	-7.691919105911349	Age	t__SGB15031	Country	3667	3	1	1	10.5865955175	10.56645	0.9439110694136248	0.9570331259999996	9.086029	12.160899999999998	1.002087102840001	1377.7746715472038	2192.7425139506063	Europe	1.4432899320127035e-14	4.7873927044861375e-11	9.574785408972276e-13	0.054466230936819175	TRUE
-113.652631638539	14.836343201272	83.979945235995	-7.660420771932194	Age	t__SGB2071	Country	1507	11	3	1	10.473904085	10.46715	0.9498470681859256	0.9289971599999997	8.926784	12.044129999999996	1.0039885094786298	576.3761538336062	942.1088146335676	Europe	1.84297022087776e-14	6.11313222265153e-11	1.1986533769904961e-12	0.2628120893561104	TRUE
-105.501344827623	13.8777916191564	77.7457615893102	-7.602170988213484	Age	t__SGB4933_group	Country	8191	1	1	0	6.2274033275	6.22017	0.61784702978177	0.6189854999999993	5.2112535	7.269096500000001	1.001240050849592	734.4484467543305	1548.6823934193887	Europe	2.90878432451791e-14	9.648437604425908e-11	1.8554687700819052e-12	0.012205541315757355	TRUE
-110.227281208773	14.6851444900608	80.8569922286514	-7.506039949649595	Age	t__SGB2301	Country	5254	0	0	0	5.582479715	5.560195	0.9693087145007366	0.9542161859999996	4.03596	7.2635109999999985	1.0008829205477627	1020.18377555891	1971.277197774823	Europe	6.084022174945858e-14	2.018070155429541e-10	3.807679538546304e-12	0	TRUE
-74.2699286860591	10.492830578454	53.2842675291511	-7.0781595233763825	Age	t__SGB15087	Country	976	5	2	0	8.10272784	8.109855	1.054102495086114	1.0539432749999995	6.3848825	9.855128	1.0002254045184629	1737.2400444721209	2624.582291582291	Europe	1.460831455801781e-12	4.8455779388945075e-9	8.810141707080923e-11	0.20345879959308238	TRUE
-93.0424683682164	13.3568240126239	66.32882034296861	-6.96591257624413	Age	t__SGB4581	Country	4057	2	3	0	6.455338545	6.45212	0.6139730796114393	0.6038259149999997	5.444616999999999	7.474137999999999	1.0039275974932167	804.039341871587	1423.0740152501276	Europe	3.26272342476841e-12	1.0822453599956816e-8	1.9325809999922884e-10	0.07385524372230429	TRUE
-68.6837830667849	10.089741859796	48.5042993471929	-6.807288434252726	Age	t__SGB1626	Country	4041	0	1	1	9.6428258475	9.64923	1.2650671530480355	1.283219952	7.563217	11.717365	1.0064397855840108	469.9622056189426	1082.1153410574286	Europe	9.945599899197077e-12	3.2989554865636705e-8	5.787641204497668e-10	0.04946821667078902	TRUE
